docker-machine;3676;0.07;infrastructure;docker
$EMACS_PLUGIN_LAUNCHER;3671;0.07;text editor;emacs
unset;3645;0.07;system;
>;3481;0.07;;
bin/cake;3470;0.07;development;php
free;3454;0.07;system;
uniq;3432;0.06;system;
xsel;3428;0.06;system;
env;3422;0.06;system;
/usr/bin/git;3408;0.06;version control;git
dig;3399;0.06;system;
python2;3392;0.06;development;
n98-magerun.phar;3386;0.06;development;magento
type;3376;0.06;system;
lsof;3332;0.06;system;
f;3317;0.06;other;probably an alias
rvm;3313;0.06;package manager;ruby
task;3279;0.06;system;
calc;3266;0.06;system;
ipconfig;3259;0.06;system;
adb;3257;0.06;development;android
};3230;0.06;;
pipenv;3217;0.06;development;python
shutdown;3192;0.06;system;
tmuxinator;3186;0.06;system;
sleep;3153;0.06;system;
\;3104;0.06;;
reboot;3093;0.06;system;
service;3061;0.06;system;
touch;3043;0.06;system;
dscacheutil;3035;0.06;system;
phpunit;3003;0.06;development;
rmdir;2999;0.06;;
pygmentize;2970;0.06;;
bc;2942;0.06;;
netstat;2932;0.06;;
md5;2922;0.06;;
colorls;2912;0.05;;
ack-grep;2852;0.05;;
\gitk;2840;0.05;;
osascript;2798;0.05;;
nohup;2785;0.05;;
xrandr;2769;0.05;;
eval;2764;0.05;;
jitsu;2759;0.05;;
mvim;2739;0.05;;
dmesg;2696;0.05;;
wc;2685;0.05;;
_z;2671;0.05;;
ag;2638;0.05;;
for;2635;0.05;;
printf;2623;0.05;;
xcode-select;2613;0.05;development;
$VSCODE;2548;0.05;;
omz_history;2539;0.05;;
tee;2529;0.05;;
l;2528;0.05;;
colordiff;2484;0.05;;
exec;2475;0.05;;
ack;2466;0.05;;
ranger;2416;0.05;;
diff;2370;0.04;;
pbpaste;2357;0.04;;
gvim;2299;0.04;;
../..;2277;0.04;;
-u;2272;0.04;;
${_pacman_sudo}${_pacman_frontend};2261;0.04;;
then;2258;0.04;;
grc;2255;0.04;;
kill;2235;0.04;;
../../..;2198;0.04;;
bat;2186;0.04;;
ln;2179;0.04;;
a;2175;0.04;;
locate;2158;0.04;;
RAILS_ENV=test;2149;0.04;;
mulle-sde;2140;0.04;;
htop;2082;0.04;system;
halt;2080;0.04;;
nice;2072;0.04;;
watch;2057;0.04;;
rlwrap;2037;0.04;;
extract;2031;0.04;;
set;2027;0.04;;
ipython;2020;0.04;development;
thin;2007;0.04;;
perldoc;1997;0.04;development;
../../../..;1995;0.04;;
lsd;1923;0.04;;
winpty;1908;0.04;;
launchctl;1895;0.04;;
fasd_cd;1894;0.04;;
pip;1878;0.04;;
most;1877;0.04;;
fi;1871;0.04;;
_git_log_prettily;1865;0.04;;
finger;1848;0.03;;
/usr/sbin/lsof;1837;0.03;;
nc;1834;0.03;;
minicom;1816;0.03;;
mysql;1799;0.03;;
colourify;1769;0.03;;
RAILS_ENV=production;1759;0.03;;
RAILS_ENV=development;1756;0.03;;
st;1750;0.03;;
"""$PAGER""";1746;0.03;;
open_lighthouse_ticket;1736;0.03;;
mplayer;1734;0.03;;
indent;1724;0.03;;
pip3;1713;0.03;;
psu;1708;0.03;;
bundled_$cmd;1706;0.03;;
if;1690;0.03;;
puo;1686;0.03;;
busybox;1668;0.03;;
${prefix}/${gcmd//;1666;0.03;;
plenv;1661;0.03;;
../libtool;1650;0.03;;
fortune;1635;0.03;;
hs;1633;0.03;;
pj;1626;0.03;;
fzf;1625;0.03;;
atom;1601;0.03;;
../../../../..;1592;0.03;;
decode64;1560;0.03;;
encode64;1560;0.03;;
_zsh_tmux_plugin_run;1557;0.03;;
ip;1552;0.03;;
chown;1540;0.03;;
gulp;1540;0.03;;
aws;1537;0.03;;
TERM=xterm-256color;1530;0.03;;
$base_$EXEEXT;1492;0.03;;
${DEBUG:-:};1478;0.03;;
err_exit;1473;0.03;;
mdutil;1469;0.03;;
b;1459;0.03;;
gitk;1452;0.03;;
scp;1451;0.03;;
ctags;1449;0.03;;
chruby;1448;0.03;;
xcodebuild;1448;0.03;;
